LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,Unnamed: 15,PARAM_TYPE,NOTE
,,22 Gauge Site Appear,,,224119,22 Gauge Site Appear,,,44748,Access Lines - Peripheral,,,,,Text,
,,22 Gauge Reason Discontinued,,,224121,22 Gauge Reason Discontinued,,,5307,Access Lines - Peripheral,,,,,Text,
,,Blood Flow (ml/min),,,224144,Blood Flow (ml/min),ml/min,chartevents,207251,Dialysis,,,,,Numeric,
,,Heparin Dose (per hour),,,224145,Heparin Dose (per hour),units,chartevents,111400,Dialysis,,,,,Numeric,
,,System Integrity,,,224146,System Integrity,,,255063,Dialysis,,,,,Text,
,,Replacement Rate,,,224153,Replacement Rate,ml/hr,chartevents,210706,Dialysis,,,,,Numeric,
,,Dialysate Rate,,,224154,Dialysate Rate,ml/hr,chartevents,211858,Dialysis,,,,,Numeric,
,,MDI #1 Drug,,,224170,MDI #1 Drug,,,123180,Respiratory,,,,,Text,
,,MDI #2 Drug,,,224173,MDI #2 Drug,,,61870,Respiratory,,,,,Text,
,,MDI #3 Drug,,,224176,MDI #3 Drug,,,3012,Respiratory,,,,,Text,
,,SV Neb Drug #1,,,224181,Small Volume Neb Drug #1,,,435,Respiratory,,,,,Text,
,,PICC Line Site Appear,,,224188,PICC Line Site Appear,,,272374,Access Lines - Invasive,,,,,Text,
,,Hourly PFR,,,224191,Hourly Patient Fluid Removal,mL,chartevents,220950,Dialysis,,,,,Numeric,
,,Site/Wound Base #1,,,224226,Impaired Skin Wound Base #1,,,295434,Skin - Impairment,,,,,Text,
,,Site Drainage #1,,,224259,Impaired Skin Drainage #1,,,251209,Skin - Impairment,,,,,Text,
,,Multi Lumen Site Appear,,,224281,Multi Lumen Site Appear,,,462011,Access Lines - Invasive,,,,,Text,
,,Multi Lumen Waveform Appear,,,224283,Multi Lumen Waveform Appear,,,315233,Access Lines - Invasive,,,,,Text,
,,Arterial line Site Appear,,,224289,Arterial line Site Appear,,,478171,Access Lines - Invasive,,,,,Text,
,,Arterial line Waveform Appear,,,224291,Arterial line Waveform Appear,,,453448,Access Lines - Invasive,,,,,Text,
,,Cordis/Introducer Site Appear,,,224297,Cordis/Introducer Site Appear,,,62583,Access Lines - Invasive,,,,,Text,
,,PCA medication,,,224327,PCA medication,,,45944,Pain/Sedation,,,,,Text,
,,Epidural Medication,,,224368,Epidural Medication,,,19711,Pain/Sedation,,,,,Text,
,,Sputum Consistency,,,224369,Sputum Consistency,,,400431,Respiratory,,,,,Text,
,,Sputum Color,,,224370,Sputum Color,,,412307,Respiratory,,,,,Text,
,,Sputum Source,,,224372,Sputum Source,,,455590,Respiratory,,,,,Text,
,,Sputum Amount,,,224373,Sputum Amount,,,457958,Respiratory,,,,,Text,
,,Cont Neb - Med,,,224375,Cont Neb - Med,,,8325,Respiratory,,,,,Text,
,,PCA cleared,,,224379,PCA cleared,,,28340,Pain/Sedation,,,,,Text,
,,Temp Atrial Sens,,,224390,Temporary Atrial Sens,,,35831,Cardiovascular (Pacer Data),,,,,Text,
,,ETT Mark (location),,,224391,ETT Mark (location),,,142013,Respiratory,,,,,Text,
,,ETT Position Change,,,224392,ETT Position Change,,,492,Respiratory,,,,,Text,
,,ART Lumen Volume,,,224404,ART Lumen Volume,mL,chartevents,61871,Dialysis,,,,,Numeric,
,,VEN  Lumen Volume,,,224406,VEN Lumen Volume,mL,chartevents,62142,Dialysis,,,,,Numeric,
,,Pain Level Response,,,224409,Pain Level Response,,,592835,Pain/Sedation,,,,,Text,
,,TOF Response,,,224413,TOF Response,,,28858,Pain/Sedation,,,,,Text,
,,TOF Twitch,,,224414,TOF Twitch,,,16848,Pain/Sedation,,,,,Text,
,,ETT Mark (cm),,,224415,ETT Mark (cm),,,492357,Respiratory,,,,,Text,
,,CT #2 Crepitus,,,224423,CT #2 Crepitus,,,41998,Pulmonary,,,,,Text,
,,CT #2 Drainage,,,224424,CT #2 Drainage,,,47783,Pulmonary,,,,,Text,
,,CT #2 Dressing,,,224425,CT #2 Dressing,,,48607,Pulmonary,,,,,Text,
,,CT #2 Fluctuate,,,224426,CT #2 Fluctuate,,,46557,Pulmonary,,,,,Text,
,,CT #2 Suction Amount,,,224427,CT #2 Suction Amount,,,56028,Pulmonary,,,,,Text,
,,CT #3 Crepitus,,,224428,CT #3 Crepitus,,,13123,Pulmonary,,,,,Text,
,,CT #4 Crepitus,,,224429,CT #4 Crepitus,,,1960,Pulmonary,,,,,Text,
,,CT #3 Drainage,,,224430,CT #3 Drainage,,,14731,Pulmonary,,,,,Text,
,,CT #4 Drainage,,,224431,CT #4 Drainage,,,1996,Pulmonary,,,,,Text,
,,CT #3 Dressing,,,224432,CT #3 Dressing,,,14994,Pulmonary,,,,,Text,
,,CT #4 Dressing,,,224433,CT #4 Dressing,,,2083,Pulmonary,,,,,Text,
,,CT #3 Fluctuate,,,224434,CT #3 Fluctuate,,,14254,Pulmonary,,,,,Text,
,,CT #4 Fluctuate,,,224435,CT #4 Fluctuate,,,1943,Pulmonary,,,,,Text,
,,CT #3 Suction Amount,,,224436,CT #3 Suction Amount,,,17701,Pulmonary,,,,,Text,
,,CT #4 Suction Amount,,,224437,CT #4 Suction Amount,,,2473,Pulmonary,,,,,Text,
,,Chest Tube Site # 2,,,224438,Chest Tube Site # 2,,,68514,Pulmonary,,,,,Text,
,,Chest Tube Site #3,,,224439,Chest Tube Site #3,,,24421,Pulmonary,,,,,Text,
,,Chest Tube Site #4,,,224440,Chest Tube Site #4,,,3640,Pulmonary,,,,,Text,
,,GI #2 Intub Site,,,224441,GI #2 Intub Site,,,71941,GI/GU,,,,,Text,
,,GI #3 Intub Site,,,224442,GI #3 Intub Site,,,10470,GI/GU,,,,,Text,
,,GI #2 Tube Place Check,,,224443,GI #2 Tube Place Check,,,6434,GI/GU,,,,,Text,
,,GI #3 Tube Place Check,,,224444,GI #3 Tube Place Check,,,490,GI/GU,,,,,Text,
,,GI #2 Tube Drainage,,,224445,GI #2 Tube Drainage,,,15763,GI/GU,,,,,Text,
,,GI #3 Tube Drainage,,,224446,GI #3 Tube Drainage,,,2818,GI/GU,,,,,Text,
,,Traction/Immobile #2,,,224449,Traction/Immobile #2,,,138,Treatments,,,,,Text,
,,Traction/Immobile #3,,,224450,Traction/Immobile #3,,,59,Treatments,,,,,Text,
,,Traction/Immobile Location #2,,,224452,Traction/Immobile Location #2,,,1207,Treatments,,,,,Text,
,,Traction/Immobile Location #3,,,224453,Traction/Immobile Location #3,,,227,Treatments,,,,,Text,
,,Traction/Immobile Location #4,,,224454,Traction/Immobile Location #4,,,7,Treatments,,,,,Text,
,,PT Splint Location #4,,,224455,PT Splint Location #4,,,132,Treatments,,,,,Text,
,,PT Splint Location #2,,,224456,PT Splint Location #2,,,3883,Treatments,,,,,Text,
,,PT Splint Location #3,,,224457,PT Splint Location #3,,,816,Treatments,,,,,Text,
,,Type #1,,,224561,Impaired Skin Type #1,,,201003,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #1,,,224565,Surrounding Tissue #1,,,306799,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #1,,,224631,Pressure Ulcer Stage #1,,,70507,Skin - Impairment,,,,,Text,
,,Tunneling Present #1,,,224632,Tunneling Present #1,,,76553,Skin - Impairment,,,,,Text,
,,Undermining Present #1,,,224633,Undermining Present #1,,,65349,Skin - Impairment,,,,,Text,
,,Service,,,224640,Service,,,90014,General,,,,,Text,
,,Nasal Congestion,,,224666,Nasal Congestion,,,2020,Toxicology,,,,,Text,
,,Goose Flesh,,,224667,Goose Flesh,,,2056,Toxicology,,,,,Text,
,,Sweating,,,224668,Sweating,,,2061,Toxicology,,,,,Text,
,,Restlessness,,,224669,Restlessness,,,2058,Toxicology,,,,,Text,
,,Lacrimation,,,224670,Lacrimation,,,2053,Toxicology,,,,,Text,
,,Pupils,,,224671,Pupils,,,2044,Toxicology,,,,,Text,
,,Yawning,,,224672,Yawning,,,2020,Toxicology,,,,,Text,
,,Abdominal Changes: Observation,,,224673,Abdominal Changes: Observation,,,2049,Toxicology,,,,,Text,
,,Muscle Aches,,,224675,Muscle Aches,,,2037,Toxicology,,,,,Text,
,,Nausea and Vomiting (CINA),,,224676,Nausea and Vomiting (CINA),,,2068,Toxicology,,,,,Text,
,,Tremor (CINA),,,224677,Tremor (CINA),,,2049,Toxicology,,,,,Text,
,,Units,,,224680,Cuff Volume/units,,,3933,Respiratory,,,,,Text,
,,Flow Pattern,,,224692,Flow Pattern,,,565745,Respiratory,,,,,Text,
,,Recruitment Mode,,,224712,Recruitment Mode,,,665,Respiratory,,,,,Text,
,,Circuit Changed,,,224713,Circuit Changed,,,1123,Respiratory,,,,,Text,
,,SBT Started,,,224715,SBT Started,,,45698,Respiratory,,,,,Text,
,,SBT Stopped,,,224716,SBT Stopped,,,5150,Respiratory,,,,,Text,
,,SBT Successfully Completed,,,224717,SBT Successfully Completed,,,27606,Respiratory,,,,,Text,
,,REE,,,224727,Resting Energy Expenditure,kcal/day,chartevents,2,Respiratory,,,,,Numeric,
,,Corneal Reflex Right,,,224730,Corneal Reflex Right,,,131013,Neurological,,,,,Text,
,,Corneal Reflex Left,,,224731,Corneal Reflex Left,,,125876,Neurological,,,,,Text,
,,Pupil Size Left,,,224733,Pupil Size Left,,,1265081,Neurological,,,,,Text,
,,Flow Rate (variable/fixed),,,224735,Flow Rate (variable/fixed),,,535751,Respiratory,,,,,Text,
,,RSBI Deferred,,,224740,RSBI Deferred,,,56644,Respiratory,,,,,Text,
,,RQ,,,224745,Respiratory Quotient,None,chartevents,2,Respiratory,,,,,Numeric,
,,Response,,,224756,Response,,,434678,Neurological,,,,,Text,
,,RUE Sensation,,,224758,RUE Sensation,,,96603,Neurological,,,,,Text,
,,LUE Sensation,,,224759,LUE Sensation,,,94678,Neurological,,,,,Text,
,,LLE Sensation,,,224762,LLE Sensation,,,93712,Neurological,,,,,Text,
,,RLE Temp,,,224771,RLE Temp,,,784054,Cardiovascular,,,,,Text,
,,LLE Temp,,,224773,LLE Temp,,,777629,Cardiovascular,,,,,Text,
,,CT #1 Leak,,,224775,CT #1 Leak,,,109751,Pulmonary,,,,,Text,
,,CT #2 Leak,,,224777,CT #2 Leak,,,46227,Pulmonary,,,,,Text,
,,CT #3 Leak,,,224779,CT #3 Leak,,,14192,Pulmonary,,,,,Text,
,,CT #4 Leak,,,224781,CT #4 Leak,,,1942,Pulmonary,,,,,Text,
,,GI #1 Tube Type,,,224785,GI #1 Tube Type,,,508983,GI/GU,,,,,Text,
,,GI #1 Tube Status,,,224786,GI #1 Tube Status,,,484358,GI/GU,,,,,Text,
,,GI #2 Tube Type,,,224788,GI #2 Tube Type,,,72498,GI/GU,,,,,Text,
,,GI #2 Tube Status,,,224789,GI #2 Tube Status,,,71422,GI/GU,,,,,Text,
,,GI #3 Tube Type,,,224791,GI #3 Tube Type,,,10583,GI/GU,,,,,Text,
,,GI #3 Tube Status,,,224792,GI #3 Tube Status,,,10441,GI/GU,,,,,Text,
,,Stool Color,,,224794,Stool Color,,,264948,GI/GU,,,,,Text,
,,Ostomy,,,224796,Ostomy,,,34581,GI/GU,,,,,Text,
,,Ostomy Appearance,,,224797,Ostomy Appearance,,,23360,GI/GU,,,,,Text,
,,AV Fistula R Bruit,,,224800,AV Fistula R Bruit,,,5224,Cardiovascular,,,,,Text,
,,AV Fistula R Thrill,,,224801,AV Fistula R Thrill,,,5105,Cardiovascular,,,,,Text,
,,AV Fistula L Bruit,,,224803,AV Fistula L Bruit,,,11883,Cardiovascular,,,,,Text,
,,AV Fistula L Thrill,,,224804,AV Fistula L Thrill,,,11639,Cardiovascular,,,,,Text,
,,CT #1 Suction Type,,,224806,CT #1 Suction Type,,,116458,Pulmonary,,,,,Text,
,,CT #2 Suction Type,,,224808,CT #2 Suction Type,,,56801,Pulmonary,,,,,Text,
,,CT #3 Suction Type,,,224810,CT #3 Suction Type,,,17819,Pulmonary,,,,,Text,
,,CT #4 Suction Type,,,224812,CT #4 Suction Type,,,2485,Pulmonary,,,,,Text,
,,GI #1 Tube Place Method,,,224814,GI #1 Tube Place Method,,,788,GI/GU,,,,,Text,
,,GI #2 Tube Place Method,,,224816,GI #2 Tube Place Method,,,3,GI/GU,,,,,Text,
,,Trach Tube Type,,,224829,Trach Tube Type,,,188605,Respiratory,,,,,Text,
,,Trach Tube Manufacturer,,,224830,Trach Tube Manufacturer,,,126963,Respiratory,,,,,Text,
,,Trach Tube Size (I.D.),,,224831,Trach Tube Size (I.D.),,,126192,Respiratory,,,,,Text,
,,ETT Type,,,224832,ETT Type,,,490139,Respiratory,,,,,Text,
,,SBT Deferred,,,224833,SBT Deferred,,,18622,Respiratory,,,,,Text,
,,Temp Ventricular Sens,,,224834,Temporary Ventricular Sens,,,35805,Cardiovascular (Pacer Data),,,,,Text,
,,Temp Ventricular Capture,,,224835,Temporary Ventricular Capture,,,33631,Cardiovascular (Pacer Data),,,,,Text,
,,Permanent Pacemaker Mode,,,224844,Permanent Pacemaker Mode,,,11895,Cardiovascular (Pacer Data),,,,,Text,
,,Site Drainage Amount #1,,,224847,Impaired Skin Drainage Amount #1,,,190668,Skin - Impairment,,,,,Text,
,,Incision Appearance #1,,,224848,Incision Appearance #1,,,429252,Skin - Incisions,,,,,Text,
,,Incision Drainage Amount #1,,,224850,Incision Drainage Amount #1,,,212609,Skin - Incisions,,,,,Text,
,,Dressing Status #1,,,224851,Dressing Status #1,,,141488,Skin - Incisions,,,,,Text,
,,Reason for Restraint (Acute M/S)_V1,,,224854,Reason for Restraint (Acute Medical/Surgical)_V1,,,2983,Restraint/Support Systems,,,,,Text,
,,Less Restrictive Measures (Behavioral),,,224857,Less Restrictive Measures (Behavioral),,,564,Restraint/Support Systems,,,,,Text,
,,Pt. Behavior w/ Application (Behavioral),,,224858,Patient Behavior During Application,,,449,Restraint/Support Systems,,,,,Text,
,,Status and Comfort (Behavioral),,,224859,Status and Comfort (Behavioral),,,937,Restraint/Support Systems,,,,,Text,
,,Skin Condition,,,224860,Skin Condition,,,984724,Skin - Assessment,,,,,Text,
,,Edema Amount,,,224862,Edema Amount,,,510941,Skin - Incisions,,,,,Text,
,,Flow Sensitivity,,,224865,Flow Sensitivity,,,565584,Respiratory,,,,,Text,
,,Temp Atrial Capture,,,224866,Temporary Atrial Capture,,,33257,Cardiovascular (Pacer Data),,,,,Text,
,,Nares L,,,224879,Nares L,,,804435,GI/GU,,,,,Text,
,,Site Cleanse #2,,,224888,Impaired Skin Cleanse #2,,,80091,Skin - Impairment,,,,,Text,
,,Site Cleanse #3,,,224889,Impaired Skin Cleanse #3,,,50324,Skin - Impairment,,,,,Text,
,,Site Cleanse #4,,,224890,Impaired Skin Cleanse #4,,,33212,Skin - Impairment,,,,,Text,
,,Site Cleanse #5,,,224891,Impaired Skin Cleanse #5,,,20375,Skin - Impairment,,,,,Text,
,,Site Cleanse #6,,,224892,Impaired Skin Cleanse #6,,,13272,Skin - Impairment,,,,,Text,
,,Site Cleanse #7,,,224893,Impaired Skin Cleanse #7,,,8696,Skin - Impairment,,,,,Text,
,,Site Cleanse #8,,,224894,Impaired Skin Cleanse #8,,,5509,Skin - Impairment,,,,,Text,
,,Site Drainage #2,,,224902,Impaired Skin Drainage #2,,,133982,Skin - Impairment,,,,,Text,
,,Site Drainage #3,,,224903,Impaired Skin Drainage #3,,,78963,Skin - Impairment,,,,,Text,
,,Site Drainage #4,,,224904,Impaired Skin Drainage #4,,,47662,Skin - Impairment,,,,,Text,
,,Site Drainage #5,,,224905,Impaired Skin Drainage #5,,,29029,Skin - Impairment,,,,,Text,
,,Site Drainage #6,,,224906,Impaired Skin Drainage #6,,,18197,Skin - Impairment,,,,,Text,
,,Site Drainage #7,,,224907,Impaired Skin Drainage #7,,,11404,Skin - Impairment,,,,,Text,
,,Site Drainage #8,,,224908,Impaired Skin Drainage #8,,,6882,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #2,,,224909,Impaired Skin Drainage Amount #2,,,103133,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #3,,,224910,Impaired Skin Drainage Amount #3,,,61380,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #4,,,224911,Impaired Skin Drainage Amount #4,,,38202,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #5,,,224912,Impaired Skin Drainage Amount #5,,,24322,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #6,,,224913,Impaired Skin Drainage Amount #6,,,14775,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #7,,,224914,Impaired Skin Drainage Amount #7,,,9758,Skin - Impairment,,,,,Text,
,,Site Drainage Amount #8,,,224915,Impaired Skin Drainage Amount #8,,,5652,Skin - Impairment,,,,,Text,
,,Site #2,,,224930,Impaired Skin Site #2,,,148156,Skin - Impairment,,,,,Text,
,,Site #3,,,224931,Impaired Skin Site #3,,,89833,Skin - Impairment,,,,,Text,
,,Site #4,,,224932,Impaired Skin Site #4,,,55156,Skin - Impairment,,,,,Text,
,,Site #5,,,224933,Impaired Skin Site #5,,,34172,Skin - Impairment,,,,,Text,
,,Site #6,,,224934,Impaired Skin Site #6,,,20946,Skin - Impairment,,,,,Text,
,,Site #7,,,224935,Impaired Skin Site #7,,,13347,Skin - Impairment,,,,,Text,
,,Site #8,,,224936,Impaired Skin Site #8,,,8875,Skin - Impairment,,,,,Text,
,,Site Treatment #2,,,224937,Impaired Skin Treatment #2,,,124415,Skin - Impairment,,,,,Text,
,,Site Treatment #3,,,224938,Impaired Skin Treatment #3,,,78411,Skin - Impairment,,,,,Text,
,,Site Treatment #4,,,224939,Impaired Skin Treatment #4,,,50250,Skin - Impairment,,,,,Text,
,,Site Treatment #5,,,224940,Impaired Skin Treatment #5,,,32016,Skin - Impairment,,,,,Text,
,,Site Treatment #6,,,224941,Impaired Skin Treatment #6,,,20959,Skin - Impairment,,,,,Text,
,,Site Treatment #7,,,224942,Impaired Skin Treatment #7,,,13430,Skin - Impairment,,,,,Text,
,,Site Treatment #8,,,224943,Impaired Skin Treatment #8,,,8250,Skin - Impairment,,,,,Text,
,,Type #2,,,224944,Impaired Skin Type #2,,,116198,Skin - Impairment,,,,,Text,
,,Type #3,,,224945,Impaired Skin Type #3,,,71559,Skin - Impairment,,,,,Text,
,,Type #4,,,224946,Impaired Skin Type #4,,,44484,Skin - Impairment,,,,,Text,
,,Type #5,,,224947,Impaired Skin Type #5,,,27750,Skin - Impairment,,,,,Text,
,,Type #6,,,224948,Impaired Skin Type #6,,,16969,Skin - Impairment,,,,,Text,
,,Type #7,,,224949,Impaired Skin Type #7,,,10772,Skin - Impairment,,,,,Text,
,,Type #8,,,224950,Impaired Skin Type #8,,,6886,Skin - Impairment,,,,,Text,
,,Site/Wound Base #2,,,224958,Impaired Skin Wound Base #2,,,163200,Skin - Impairment,,,,,Text,
,,Site/Wound Base #3,,,224959,Impaired Skin Wound Base #3,,,95433,Skin - Impairment,,,,,Text,
,,Site/Wound Base #4,,,224960,Impaired Skin Wound Base #4,,,59536,Skin - Impairment,,,,,Text,
,,Site/Wound Base #5,,,224961,Impaired Skin Wound Base #5,,,35537,Skin - Impairment,,,,,Text,
,,Site/Wound Base #6,,,224962,Impaired Skin Wound Base #6,,,21760,Skin - Impairment,,,,,Text,
,,Site/Wound Base #7,,,224963,Impaired Skin Wound Base #7,,,14243,Skin - Impairment,,,,,Text,
,,Site/Wound Base #8,,,224964,Impaired Skin Wound Base #8,,,7829,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #2,,,224965,Pressure Ulcer Stage #2,,,39186,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #3,,,224966,Pressure Ulcer Stage #3,,,26478,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #4,,,224967,Pressure Ulcer Stage #4,,,15407,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #5,,,224968,Pressure Ulcer Stage #5,,,10044,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #6,,,224969,Pressure Ulcer Stage #6,,,6478,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #7,,,224970,Pressure Ulcer Stage #7,,,4300,Skin - Impairment,,,,,Text,
,,Pressure Ulcer Stage #8,,,224971,Pressure Ulcer Stage #8,,,2958,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #2,,,224972,Surrounding Tissue #2,,,163865,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #3,,,224973,Surrounding Tissue #3,,,92573,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #4,,,224974,Surrounding Tissue #4,,,56431,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #5,,,224975,Surrounding Tissue #5,,,33639,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #6,,,224976,Surrounding Tissue #6,,,19445,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #7,,,224977,Surrounding Tissue #7,,,12798,Skin - Impairment,,,,,Text,
,,Surrounding Tissue #8,,,224978,Surrounding Tissue #8,,,7830,Skin - Impairment,,,,,Text,
,,Tunneling Present #2,,,224979,Tunneling Present #2,,,41959,Skin - Impairment,,,,,Text,
,,Tunneling Present #3,,,224980,Tunneling Present #3,,,26982,Skin - Impairment,,,,,Text,
,,Tunneling Present #4,,,224981,Tunneling Present #4,,,15928,Skin - Impairment,,,,,Text,
,,Tunneling Present #5,,,224982,Tunneling Present #5,,,9381,Skin - Impairment,,,,,Text,
,,Tunneling Present #6,,,224983,Tunneling Present #6,,,6816,Skin - Impairment,,,,,Text,
,,Tunneling Present #7,,,224984,Tunneling Present #7,,,4412,Skin - Impairment,,,,,Text,
,,Tunneling Present #8,,,224985,Tunneling Present #8,,,3046,Skin - Impairment,,,,,Text,
,,Undermining Present #2,,,224986,Undermining Present #2,,,36219,Skin - Impairment,,,,,Text,
,,Undermining Present #3,,,224987,Undermining Present #3,,,23340,Skin - Impairment,,,,,Text,
,,Undermining Present #4,,,224988,Undermining Present #4,,,14530,Skin - Impairment,,,,,Text,
,,Undermining Present #5,,,224989,Undermining Present #5,,,8837,Skin - Impairment,,,,,Text,
,,Undermining Present #6,,,224990,Undermining Present #6,,,6175,Skin - Impairment,,,,,Text,
,,Undermining Present #7,,,224991,Undermining Present #7,,,4038,Skin - Impairment,,,,,Text,
,,Undermining Present #8,,,224992,Undermining Present #8,,,2733,Skin - Impairment,,,,,Text,
,,Incision Appearance #2,,,224993,Incision Appearance #2,,,207142,Skin - Incisions,,,,,Text,
,,Incision Appearance #3,,,224994,Incision Appearance #3,,,89758,Skin - Incisions,,,,,Text,
,,Incision Appearance #4,,,224995,Incision Appearance #4,,,33382,Skin - Incisions,,,,,Text,
,,Incision Appearance #5,,,224996,Incision Appearance #5,,,14457,Skin - Incisions,,,,,Text,
,,Incision Appearance #6,,,224997,Incision Appearance #6,,,6665,Skin - Incisions,,,,,Text,
,,Incision Cleansing #2,,,224998,Incision Cleansing #2,,,31230,Skin - Incisions,,,,,Text,
,,Incision Cleansing #3,,,224999,Incision Cleansing #3,,,11340,Skin - Incisions,,,,,Text,
,,Incision Cleansing #4,,,225000,Incision Cleansing #4,,,4419,Skin - Incisions,,,,,Text,
,,Incision Cleansing #5,,,225001,Incision Cleansing #5,,,1512,Skin - Incisions,,,,,Text,
,,Incision Cleansing #6,,,225002,Incision Cleansing #6,,,572,Skin - Incisions,,,,,Text,
,,Incision Closure #6,,,225003,Incision Closure #6,,,6559,Skin - Incisions,,,,,Text,
,,Incision Closure #2,,,225004,Incision Closure #2,,,207370,Skin - Incisions,,,,,Text,
,,Incision Closure #3,,,225005,Incision Closure #3,,,90206,Skin - Incisions,,,,,Text,
,,Incision Closure #4,,,225006,Incision Closure #4,,,32969,Skin - Incisions,,,,,Text,
,,Incision Closure #5,,,225007,Incision Closure #5,,,14149,Skin - Incisions,,,,,Text,
,,Incision Drainage #2,,,225013,Incision Drainage #2,,,136345,Skin - Incisions,,,,,Text,
,,Incision Drainage #3,,,225014,Incision Drainage #3,,,56661,Skin - Incisions,,,,,Text,
,,Incision Drainage #4,,,225015,Incision Drainage #4,,,20670,Skin - Incisions,,,,,Text,
,,Incision Drainage #5,,,225016,Incision Drainage #5,,,8380,Skin - Incisions,,,,,Text,
,,Incision Drainage #6,,,225017,Incision Drainage #6,,,3766,Skin - Incisions,,,,,Text,
,,Incision Drainage Amount #2,,,225018,Incision Drainage Amount #2,,,88834,Skin - Incisions,,,,,Text,
,,Incision Drainage Amount #3,,,225019,Incision Drainage Amount #3,,,37091,Skin - Incisions,,,,,Text,
,,Incision Drainage Amount #4,,,225020,Incision Drainage Amount #4,,,14512,Skin - Incisions,,,,,Text,
,,Incision Drainage Amount #5,,,225021,Incision Drainage Amount #5,,,5878,Skin - Incisions,,,,,Text,
,,Incision Drainage Amount #6,,,225022,Incision Drainage Amount #6,,,2528,Skin - Incisions,,,,,Text,
,,Incision Dressing #2,,,225023,Incision Dressing #2,,,56496,Skin - Incisions,,,,,Text,
,,Incision Dressing #3,,,225024,Incision Dressing #3,,,18203,Skin - Incisions,,,,,Text,
,,Incision Dressing #4,,,225025,Incision Dressing #4,,,6313,Skin - Incisions,,,,,Text,
,,Incision Dressing #5,,,225026,Incision Dressing #5,,,2009,Skin - Incisions,,,,,Text,
,,Incision Dressing #6,,,225027,Incision Dressing #6,,,766,Skin - Incisions,,,,,Text,
,,Dressing Status #2,,,225028,Dressing Status #2,,,57634,Skin - Incisions,,,,,Text,
,,Dressing Status #3,,,225029,Dressing Status #3,,,18255,Skin - Incisions,,,,,Text,
,,Dressing Status #4,,,225030,Dressing Status #4,,,6145,Skin - Incisions,,,,,Text,
,,Dressing Status #5,,,225031,Dressing Status #5,,,1953,Skin - Incisions,,,,,Text,
,,Dressing Status #6,,,225032,Dressing Status #6,,,810,Skin - Incisions,,,,,Text,
,,Incision Packing #2,,,225043,Incision Packing #2,,,11442,Skin - Incisions,,,,,Text,
,,Incision Packing #3,,,225044,Incision Packing #3,,,3986,Skin - Incisions,,,,,Text,
,,Incision Packing #4,,,225045,Incision Packing #4,,,1705,Skin - Incisions,,,,,Text,
,,Incision Packing #5,,,225046,Incision Packing #5,,,381,Skin - Incisions,,,,,Text,
,,Incision Packing #6,,,225047,Incision Packing #6,,,311,Skin - Incisions,,,,,Text,
,,Knee Location - Immobilizer,,,225048,Knee Location - Immobilizer,,,26895,Treatments,,,,,Text,
,,Warming Device Status,,,225050,Warming Device Status,,,103275,Treatments,,,,,Text,
,,Cooling Device Status,,,225052,Cooling Device Status,,,63361,Treatments,,,,,Text,
,,Anti Embolic Device Status,,,225054,Anti Embolic Device Status,,,1408819,Treatments,,,,,Text,
,,PMH,,,225059,Past medical history,,,142592,Adm History/FHPA,,,,,Text,
,,Living situation,,,225072,Living situation,,,121397,Adm History/FHPA,,,,,Text,
,,Interpreter,,,225090,Interpreter,,,40135,Adm History/FHPA,,,,,Text,
,,Balance,,,225097,Balance,,,103444,Adm History/FHPA,,,,,Text,
,,Judgement,,,225099,Judgement,,,103776,Adm History/FHPA,,,,,Text,
,,Use of assistive devices,,,225101,Use of assistive devices,,,88603,Adm History/FHPA,,,,,Text,
,,Appetite,,,225120,Appetite,,,87300,Adm History/FHPA,,,,,Text,
,,Teaching directed toward,,,225131,Teaching directed toward,,,100557,Adm History/FHPA,,,,,Text,
,,Consults,,,225135,Consults,,,82726,Adm History/FHPA,,,,,Text,
,,ROM Status,,,225176,Range of Motion Status,,,50385,Treatments,,,,,Text,
,,PT Splint Status #1,,,225180,PT Splint Status #1,,,13666,Treatments,,,,,Text,
